"","wikidata_name","wikidata_id","parent_name","parent_id","parent_icb","parent_imi","parent_mids","parent_mip","parent_mips","parent_rand"
"1","1989 Philippine coup attempt","Q4585384","1989 Philippine coup attempt","Q4585384",NA,"US aids Phillippine government after coup attempt (AP, UPI, Xinh)",NA,"Philippines Coup Attempt",NA,NA
"2","Operation Uphold Democracy","Q2026486","1991 Haitian coup d'état","Q4586873","HAITI MIL. REGIME","US restores democratically elected government in Haiti  (UPI, AP)","4016","Operation Uphold Democracy","Operation Uphold Democracy","Operation Uphold Democracy"
"3","Operation Secure Tomorrow","Q7097528","2004 Haitian coup d'état","Q2883469",NA,"US aids in restoring order in Haiti (AP, AFP)",NA,"Operation Secure Tomorrow",NA,"Operation Secure Tomorrow"
"4","2017 al-Jinah airstrike","Q28983702","Syrian Civil War","Q178810","SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"5","2017 Shayrat missile strike","Q29197866","Syrian Civil War","Q178810","SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"6","2018 missile strikes against Syria","Q51844684","Syrian Civil War","Q178810","SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"7","Al-Hawl Offensive (2015)","Q21405560","Syrian Civil War","Q178810","SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"8","Al-Shaddadi offensive (2016)","Q22894201","Syrian Civil War","Q178810","SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"9","Barisha raid","Q72587856","Syrian Civil War","Q178810","SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"10","Ja'Din shootdown incident","Q60756557","Syrian Civil War","Q178810","SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"11","May 2015 U.S. special forces raid in Syria","Q20860131","Syrian Civil War","Q178810","SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"12","Operation Tidal Wave II","Q22907504","Syrian Civil War","Q178810","SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"13","September 2016 Deir ez-Zor air raid","Q26945162","Syrian Civil War","Q178810","SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"14","Tishrin Dam offensive","Q21860041","Syrian Civil War","Q178810","SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"15","2017 Baghdad–Damascus highway offensive","Q29991963","Syrian Civil War","Q178810",NA,NA,NA,NA,NA,NA
"16","Palmyra offensive (December 2016)","Q27988133","Syrian Civil War","Q178810",NA,NA,NA,NA,NA,NA
"17","2017 southern Syria offensive","Q28162889","Syrian Civil War","Q178810",NA,NA,NA,NA,NA,NA
"18","Northern Aleppo offensive","Q25242026","Syrian Civil War","Q178810",NA,NA,NA,NA,NA,NA
"19","Al-Hasakah city offensive (June 2015)","Q20241081","Syrian Civil War","Q178810",NA,NA,NA,NA,NA,NA
"20","Al-Hasakah offensive","Q19428973","Syrian Civil War","Q178810",NA,NA,NA,NA,NA,NA
"21","Al-Hasakah offensive","Q20050670","Syrian Civil War","Q178810",NA,NA,NA,NA,NA,NA
"22","Battle of Sarrin (June–July 2015)","Q20715216","Syrian Civil War","Q178810",NA,NA,NA,NA,NA,NA
"23","Battle of Sarrin (March–April 2015)","Q19691931","Syrian Civil War","Q178810",NA,NA,NA,NA,NA,NA
"24","Deir ez-Zor offensive","Q39899474","Syrian Civil War","Q178810",NA,NA,NA,NA,NA,NA
"25","Manbij offensive","Q23701421","Syrian Civil War","Q178810",NA,NA,NA,NA,NA,NA
"26","Northern Raqqa offensive (May 2016)","Q24255637","Syrian Civil War","Q178810",NA,NA,NA,NA,NA,NA
"27","Battle of Raqqa (2017)","Q30140821","Syrian Civil War","Q178810",NA,NA,NA,NA,NA,NA
"28","Battle of Tabqa Dam","Q29258911","Syrian Civil War","Q178810",NA,NA,NA,NA,NA,NA
"29","2016 Dabiq offensive","Q27185813","Syrian Civil War","Q178810",NA,NA,NA,NA,NA,NA
"30","Battle of al-Bab","Q27915277","Syrian Civil War","Q178810",NA,NA,NA,NA,NA,NA
"31","East Aleppo offensive","Q28846183","Syrian Civil War","Q178810",NA,NA,NA,NA,NA,NA
"32","Northern al-Bab offensive","Q27630575","Syrian Civil War","Q178810",NA,NA,NA,NA,NA,NA
"33","2020 Baghdad International Airport airstrike","Q80754846","2019–20 Persian Gulf crisis","Q65920364",NA,NA,NA,NA,NA,NA
"34","December 2019 United States airstrikes in Iraq and Syria","Q26847124","2019–20 Persian Gulf crisis","Q65920364",NA,NA,NA,"Baghdad Embassy Protection",NA,NA
"35","February 2021 United States airstrike in Syria","Q105707091","2019–20 Persian Gulf crisis","Q65920364",NA,NA,NA,NA,NA,NA
"36","June 2021 United States airstrike in Syria","Q107504334","2019–20 Persian Gulf crisis","Q65920364",NA,NA,NA,NA,NA,NA
"37","Operation Gothic Serpent","Q3428977","Somali Civil War","Q243620",NA,NA,NA,"UNOSOM II",NA,NA
"38","Operation United Shield","Q16250538","Somali Civil War","Q243620",NA,NA,NA,"UNOSOM II",NA,"Operation United Shield"
"39","Dobley airstrike","Q5286642","Somali Civil War","Q243620",NA,NA,NA,NA,NA,NA
"40","2017 raid on Barii","Q30625807","Somali Civil War","Q243620",NA,NA,NA,NA,NA,NA
"41","Operation Indian Ocean","Q18128999","Somali Civil War","Q243620",NA,NA,NA,NA,NA,NA
"42","Amiriyah shelter bombing","Q2071090","Gulf War","Q37643","GULF WAR","c(""US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)"", ""US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)"", ""US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)"")","c(""3957"", ""3973"", ""3974"")","Operation Desert Storm","c(""Desert Shield"", ""Desert Storm"")","c(""Operation Desert Storm"", ""Task Force Freedom"")"
"43","Attack on Ras Tanura","Q28162756","Gulf War","Q37643","GULF WAR","c(""US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)"", ""US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)"", ""US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)"")","c(""3957"", ""3973"", ""3974"")","Operation Desert Storm","c(""Desert Shield"", ""Desert Storm"")","c(""Operation Desert Storm"", ""Task Force Freedom"")"
"44","Package Q Strike","Q7122885","Gulf War","Q37643","GULF WAR","c(""US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)"", ""US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)"", ""US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)"")","c(""3957"", ""3973"", ""3974"")","Operation Desert Storm","c(""Desert Shield"", ""Desert Storm"")","c(""Operation Desert Storm"", ""Task Force Freedom"")"
"45","Samurra Air Battle","Q28162754","Gulf War","Q37643","GULF WAR","c(""US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)"", ""US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)"", ""US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)"")","c(""3957"", ""3973"", ""3974"")","Operation Desert Storm","c(""Desert Shield"", ""Desert Storm"")","c(""Operation Desert Storm"", ""Task Force Freedom"")"
"46","Cruise missile strikes on Iraq","Q1781133","Gulf War","Q37643","DESERT STRIKE","US build up in Kuwait to respond to Iraqi border build-up (UPI, AP)","3568","Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort/ Provide Comfort II/ Operation Northern Watch","Desert Strike/ Kuwait deployment","Operation Desert Strike"
"47","Operation Vigilant Sentinel","Q7097689","Gulf War","Q37643","GULF WAR","US build up in Kuwait to respond to Iraqi border build-up (UPI, AP)","3568","Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort/ Provide Comfort II/ Operation Northern Watch","c(""Desert Shield"", ""Desert Storm"")","Operation Vigilant Sentinel"
"48","Operation Desert Spring","Q7096978","Gulf War","Q37643","GULF WAR","US build up in Kuwait to respond to Iraqi border build-up (UPI, AP)","3568","Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort/ Provide Comfort II/ Operation Northern Watch","c(""Desert Shield"", ""Desert Storm"")","Exercise Intrinsic Action/Desert Spring"
"49","Operation Desert Thunder","Q3354687","Gulf War","Q37643","GULF WAR","US build up in Kuwait to respond to Iraqi border build-up (UPI, AP)","3568","Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort/ Provide Comfort II/ Operation Northern Watch","Ops Desert Thunder/ Desert Fox","Operation Desert Thunder"
"50","Operation Northern Watch","Q2026233","Gulf War","Q37643","GULF WAR","US build up in Kuwait to respond to Iraqi border build-up (UPI, AP)","3568","Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort/ Provide Comfort II/ Operation Northern Watch","c(""Desert Shield"", ""Desert Storm"")","Operation Northern Watch"
"51","Operation Provide Comfort","Q2281470","Gulf War","Q37643","GULF WAR","US build up in Kuwait to respond to Iraqi border build-up (UPI, AP)","3568","Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort/ Provide Comfort II/ Operation Northern Watch","Ops Provide Comfort/ Northern Watch","Operation Provide Comfort"
"52","1993 cruise missile strikes on Iraq","Q5189962","Gulf War","Q37643","GULF WAR","US build up in Kuwait to respond to Iraqi border build-up (UPI, AP)","3568","Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort/ Provide Comfort II/ Operation Northern Watch","Operation Southern Watch","Operation Southern Watch"
"53","Bombing of Iraq","Q1327861","Gulf War","Q37643","GULF WAR","US build up in Kuwait to respond to Iraqi border build-up (UPI, AP)","3568","Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort/ Provide Comfort II/ Operation Northern Watch","Operation Southern Watch","Operation Southern Watch"
"54","January 1993 airstrikes on Iraq","Q105773263","Gulf War","Q37643","GULF WAR","US build up in Kuwait to respond to Iraqi border build-up (UPI, AP)","3568","Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort/ Provide Comfort II/ Operation Northern Watch","Operation Southern Watch","Operation Southern Watch"
"55","Operation Southern Focus","Q2739563","Gulf War","Q37643","GULF WAR","US build up in Kuwait to respond to Iraqi border build-up (UPI, AP)","3568","Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort/ Provide Comfort II/ Operation Northern Watch","Operation Southern Watch","Operation Southern Watch"
"56","Operation Vigilant Warrior","Q1838811","Gulf War","Q37643","IRAQ DEPLOY./KUWAIT","US build up in Kuwait to respond to Iraqi border build-up (UPI, AP)","3568","Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort/ Provide Comfort II/ Operation Northern Watch","Operation Southern Watch","Operation Southern Watch"
"57","Battle of 73 Easting","Q1402530","Gulf War","Q37643","GULF WAR","c(""US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)"", ""US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)"", ""US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)"")","c(""3957"", ""3973"", ""3974"")","Operation Desert Shield","c(""Desert Shield"", ""Desert Storm"")","c(""Operation Desert Storm"", ""Task Force Freedom"")"
"58","Battle of Ad-Dawrah","Q4870215","Gulf War","Q37643","GULF WAR","c(""US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)"", ""US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)"", ""US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)"")","c(""3957"", ""3973"", ""3974"")","Operation Desert Shield","c(""Desert Shield"", ""Desert Storm"")","c(""Operation Desert Storm"", ""Task Force Freedom"")"
"59","Battle of Khafji","Q718770","Gulf War","Q37643","GULF WAR","c(""US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)"", ""US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)"", ""US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)"")","c(""3957"", ""3973"", ""3974"")","Operation Desert Shield","c(""Desert Shield"", ""Desert Storm"")","c(""Operation Desert Storm"", ""Task Force Freedom"")"
"60","Battle of Kuwait International Airport","Q19428991","Gulf War","Q37643","GULF WAR","c(""US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)"", ""US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)"", ""US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)"")","c(""3957"", ""3973"", ""3974"")","Operation Desert Shield","c(""Desert Shield"", ""Desert Storm"")","c(""Operation Desert Storm"", ""Task Force Freedom"")"
"61","Battle of Norfolk","Q3636553","Gulf War","Q37643","GULF WAR","c(""US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)"", ""US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)"", ""US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)"")","c(""3957"", ""3973"", ""3974"")","Operation Desert Shield","c(""Desert Shield"", ""Desert Storm"")","c(""Operation Desert Storm"", ""Task Force Freedom"")"
"62","Battle of Qurah and Umm al Maradim","Q4872147","Gulf War","Q37643","GULF WAR","c(""US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)"", ""US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)"", ""US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)"")","c(""3957"", ""3973"", ""3974"")","Operation Desert Shield","c(""Desert Shield"", ""Desert Storm"")","c(""Operation Desert Storm"", ""Task Force Freedom"")"
"63","Battle of Wadi Al-Batin","Q3636251","Gulf War","Q37643","GULF WAR","c(""US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)"", ""US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)"", ""US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)"")","c(""3957"", ""3973"", ""3974"")","Operation Desert Shield","c(""Desert Shield"", ""Desert Storm"")","c(""Operation Desert Storm"", ""Task Force Freedom"")"
"64","Operation Senior Surprise","Q85790978","Gulf War","Q37643","GULF WAR","c(""US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)"", ""US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)"", ""US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)"")","c(""3957"", ""3973"", ""3974"")","Operation Desert Shield","c(""Desert Shield"", ""Desert Storm"")","c(""Operation Desert Storm"", ""Task Force Freedom"")"
"65","Operation Unified Protector","Q3269455","Libyan Crisis","Q18702324","LIBYAN CIVILWAR",NA,NA,NA,NA,"Operation Odyssey Dawn"
"66","2016 Sirte offensive","Q24467647","Libyan Crisis","Q18702324",NA,NA,NA,NA,NA,NA
"67","Operation Infinite Reach","Q837887","Operation Infinite Reach","Q837887",NA,"c(""US carries out air strikes against suspected terrorist facilities in Sudan (TNS, PI)"", ""US uses cruise missiles to attack suspected terrorist facilities (Xinh, IP, DP)"")","c(""4217"", ""4227"")","c(""Operation Infinite Reach"", ""Operation Infinite Reach"")",NA,"Operation Infinite Reach"
"68","Operation Infinite Reach","Q837887","cruise missile strikes on Afghanistan and Sudan","Q837887",NA,"c(""US carries out air strikes against suspected terrorist facilities in Sudan (TNS, PI)"", ""US uses cruise missiles to attack suspected terrorist facilities (Xinh, IP, DP)"")","c(""4217"", ""4227"")","c(""Operation Infinite Reach"", ""Operation Infinite Reach"")",NA,"Operation Infinite Reach"
"69","U.S. raid on the Iranian Liaison Office in Arbil","Q7863480","U.S. raid on the Iranian Liaison Office in Arbil","Q7863480",NA,NA,"4535","Erbil Raid",NA,NA
"70","2014 American raid in Libya","Q23022941","Operation Enduring Freedom – Trans Sahara","Q2602154",NA,"US pursues Taliban insurgents into Pakistan (AFP)","c(""4524"", ""4527"", ""4568"", ""4571"", ""4577"", ""4397"", ""4540"", ""4581"", ""4543"", ""4598"")","Operation Juniper Shield",NA,NA
"71","Al-Karmah offensive (2015)","Q19864219","American-led intervention in Iraq (2014–present)","Q18159629",NA,"US pursues Taliban insurgents into Pakistan (AFP)","c(""4524"", ""4527"", ""4568"", ""4571"", ""4577"", ""4397"", ""4540"", ""4581"", ""4543"", ""4598"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"72","Anbar campaign (2015–16)","Q22935666","American-led intervention in Iraq (2014–present)","Q18159629",NA,"US pursues Taliban insurgents into Pakistan (AFP)","c(""4524"", ""4527"", ""4568"", ""4571"", ""4577"", ""4397"", ""4540"", ""4581"", ""4543"", ""4598"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"73","2017 Mosul airstrike","Q29524697","American-led intervention in Iraq (2014–present)","Q18159629",NA,"US pursues Taliban insurgents into Pakistan (AFP)","c(""4524"", ""4527"", ""4568"", ""4571"", ""4577"", ""4397"", ""4540"", ""4581"", ""4543"", ""4598"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"74","Western Nineveh offensive (2017)","Q30014900","American-led intervention in Iraq (2014–present)","Q18159629",NA,"US pursues Taliban insurgents into Pakistan (AFP)","c(""4524"", ""4527"", ""4568"", ""4571"", ""4577"", ""4397"", ""4540"", ""4581"", ""4543"", ""4598"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"75","Hawija offensive (2017)","Q40532579","American-led intervention in Iraq (2014–present)","Q18159629",NA,"US pursues Taliban insurgents into Pakistan (AFP)","c(""4524"", ""4527"", ""4568"", ""4571"", ""4577"", ""4397"", ""4540"", ""4581"", ""4543"", ""4598"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"76","Mosul offensive (2016)","Q23540783","American-led intervention in Iraq (2014–present)","Q18159629",NA,"US pursues Taliban insurgents into Pakistan (AFP)","c(""4524"", ""4527"", ""4568"", ""4571"", ""4577"", ""4397"", ""4540"", ""4581"", ""4543"", ""4598"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"77","November 2015 Sinjar offensive","Q21472342","American-led intervention in Iraq (2014–present)","Q18159629",NA,"US pursues Taliban insurgents into Pakistan (AFP)","c(""4524"", ""4527"", ""4568"", ""4571"", ""4577"", ""4397"", ""4540"", ""4581"", ""4543"", ""4598"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"78","Salahuddin campaign","Q19574810","American-led intervention in Iraq (2014–present)","Q18159629",NA,"US pursues Taliban insurgents into Pakistan (AFP)","c(""4524"", ""4527"", ""4568"", ""4571"", ""4577"", ""4397"", ""4540"", ""4581"", ""4543"", ""4598"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"79","Battle of Al Faw (2003)","Q1930510","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"80","Battle of Baghdad (2003)","Q1804983","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"81","Battle of Basra (2003)","Q2585300","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"82","Battle of Debecka Pass","Q4870854","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"83","Battle of Haditha Dam","Q40889886","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
