Year,Intervention,Target,dataset,wikidata_id,wikidata_name,drop,notes
1993,N. KOREA NUCLEAR I,NA,icb,Q3058660,1993 North Korean missile test,1,
1998,US EMBASSY BOMBINGS,NA,icb,Q876206,1998 United States embassy bombings,1,
2006,N. KOREA NUCLEAR III,NA,icb,Q491269,2006 North Korean missile test,1,Unsure what to do with this/don't have dataset
2011,LIBYAN CIVILWAR,NA,icb,Q81545,2011 Libyan Civil War,0,
2015,TURKEY-RUSSIA JET INCIDENT,NA,icb,Q21540349,2015 Russian Sukhoi Su-24 shootdown,1,United States issued economic sanctions to Russia after this incident
2013,SYRIA CHEMICAL WEAPONS,NA,icb,Q18121212,American-led intervention in Syria,0,
1996,DESERT STRIKE,NA,icb,Q1781133,Cruise missile strikes on Iraq,0,
1990,GULF WAR,NA,icb,Q37643,Gulf War,0,
2003,IRAQ REGIME CHANGE,NA,icb,Q545449,Iraq War,0,
1999,KOSOVO,NA,icb,Q190029,Kosovo War,0,
1994,HAITI MIL. REGIME,NA,icb,Q2026486,Operation Uphold Democracy,0,
1994,IRAQ DEPLOY./KUWAIT,NA,icb,Q1838811,Operation Vigilant Warrior,0,
2006,IRAN NUCLEAR II,NA,icb,Q2355256,United Nations Security Council Resolution 1696,1,Unsure what to do with this/don't have dataset
1997,UNSCOM I,NA,icb,Q657112,United Nations Special Commission,1,
1998,UNSCOM II,NA,icb,Q657112,United Nations Special Commission,1,Unsure of the difference between this and item 87 (UNSCOM I). unable to locate dataset 
1989,INVASION OF PANAMA,NA,icb,Q459282,United States invasion of Panama,0,
2001,AFGHANISTAN/US,NA,icb,Q182865,War in Afghanistan,0,
2002,N. KOREA NUCLEAR II,NA,icb,,,1,Unsure what to do with this/don't have dataset
2009,N. KOREA NUCLEAR IV-SATELLITE LAUNCH,NA,icb,,,1,Unsure what to do with this/don't have dataset
2013,N. KOREA NUCLEAR V,NA,icb,,,1,Unsure what to do with this/don't have dataset
1989,"US aids Phillippine government after coup attempt (AP, UPI, Xinh)",Philippines,imi,Q4585384,1989 Philippine coup attempt,0,
1998,US evacuates opposition militia member from Liberia (NYT),Liberia,imi,Q39087721,1998 Monrovia clashes,1,
1998,"US gives aid to Papua-New Guinea following tidal wave disaster (FDAD, Canberra)",Papua New Guinea,imi,Q3133143,1998 Papua New Guinea earthquake,1,
1998,"US Air Force delivers relief to China after devastating flood (M2, Comm)",China,imi,Q82549,1998 Yangtze River floods,1,
2004,"US aids in restoring order in Haiti (AP, AFP)",Haiti,imi,Q2883469,2004 Haitian coup d'état,0,
2004,"US provides tsunami relief to Thailand (AP, BBC)",Thailand,imi,Q130754,2004 Indian Ocean earthquake,1,
2004,"US provides tsunami relief to Indonesia (FT, AFP, Scripps)",Indonesia,imi,Q130754,2004 Indian Ocean earthquake,1,
2005,"US troops give humanitarian aid to Pakistan after earthquake (FT, Reuters)",Pakistan,imi,Q210137,2005 Pakistan earthquake,1,
1996,US evacuates nationals and protects embassy in the Central African Republic (UPI),Central African Republic,imi,Q14646592,Bangui Agreements,0,
1993,"US planes drop food in Bosnia-Herzegovina  (TS, Xinh, UP)    ",Bosnia & Herzegovina,imi,Q181533,Bosnian War,0,
1998,"US carries out air strikes against suspected terrorist facilities in Sudan (TNS, PI)",Sudan,imi,Q837887,cruise missile strikes on Afghanistan and Sudan,0,
1998,"US uses cruise missiles to attack suspected terrorist facilities (Xinh, IP, DP)",Afghanistan,imi,Q837887,cruise missile strikes on Afghanistan and Sudan,0,
2005,"US troops build schools and provide medical aid in Haiti (AP, Navy Newsstand)",Haiti,imi,Q22092291,Effects of Hurricane Dennis in Haiti,1,
1998,"US evacuates Americans from Eritrea (AP, AFP, UPI)",Eritrea,imi,Q832273,Eritrean–Ethiopian War,1,
2002,"US evacuates foreigners in Ivory Coast (AFP, AllAfrica, CW)",Côte d’Ivoire,imi,Q1021175,First Ivorian Civil War,1,US evacuation of foreigners in beginning of civil war
1996,Operation Assured Response by US to evacuate 2444 people from Liberia (globalsecurity.org),Liberia,imi,Q1477500,First Liberian Civil War,1,https://www.globalsecurity.org/military/ops/assured_response.htm
1994,US troops provide humanitarian assistance in Zaire (Reuters),Congo - Kinshasa,imi,Q131297,Genocide against the Tutsis,1,Also mentioned in Genocide against the Tutsis Q131297
1994,"US provides humanitarian relief in Rwanda (UPI, WP)",Rwanda,imi,Q131297,Genocide against the Tutsis,1,
1990,"US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)",Saudi Arabia,imi,Q37643,Gulf War,0,
1990,"US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)",Kuwait,imi,Q37643,Gulf War,0,
1991,"US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)",Iraq,imi,Q37643,Gulf War,0,
2001,US forces patrol and provide security and act as peacekeeping force in Afghanistan (globalsecurity.org),Afghanistan,imi,Q155654,International Security Assistance Force,0,
2003,"US topples Iraqi government (DP, AFX, CNN)",Iraq,imi,Q545449,Iraq War,0,
1994,"US build up in Kuwait to respond to Iraqi border build-up (UPI, AP)",Kuwait,imi,Q899657,Iraqi no-fly zones conflict,0,"No wikipedia page or name of this incident to be found. leftover tensions between iraq, kuwait, and the united states after the gulf war. found an article detailing it here.  https://www.latimes.com/archives/la-xpm-1994-10-10-mn-48725-story.html"
1989,"U.S evacuates diplomats from Lebanon (AP, NYT)",Lebanon,imi,Q2156347,Lebanon hostage crisis,1,"Couldn't find an exact instance of this in any Wikipedia/wiki data page, but due to the time period and location it seems to be a part of the Lebanese Civil War. found reasoning for the evacuation here https://lb.usembassy.gov/our-relationship/policy-history/io/"
1992,"U.S. troops give humanitarian relief to Somalia (Xinh, UP, AP) ",Somalia,imi,Q15062104,Operation Provide Relief,1,
1997,US evacuates American citizens from Albania (GNL),Albania,imi,Q7097555,Operation Silver Wake,1,
2005,"US provides tsunami relief to Sri Lanka (AFP, AP)",Sri Lanka,imi,Q7097676,Operation Unified Assistance,1,
1994,"US restores democratically elected government in Haiti  (UPI, AP)",Haiti,imi,Q2026486,Operation Uphold Democracy,0,
1996,"US buildup of troops in Kuwait after Iraq's provocation (SDUT, Reuters)",Kuwait,imi,Q1838811,Operation Vigilant Warrior,0,
1997,"US evacuates diplomats from Congo (BBN, TN)",Congo - Brazzaville,imi,Q1021172,Republic of the Congo Civil War,1,
2003,"US send peacekeepers to Liberia (Fed. Info, AFP, DP)",Liberia,imi,Q1960733,Second Liberian Civil War,1,
1992,"U.S.troops evacuate Americans from Sierra Leone (AP, Herald)",Sierra Leone,imi,Q795269,Sierra Leone Civil War,1,
1997,"US evacuates civilians from Sierra Leone (DP, Xinh)",Sierra Leone,imi,Q795269,Sierra Leone Civil War,1,
1989,"US removes Panamanian government (WP, NYT)",Panama,imi,Q459282,United States invasion of Panama,0,
1990,"US evacuates American citizens from Liberia during civil conflict (CSM, AP, WP)",Liberia,imi,Q459282,United States invasion of Panama,0,
2001,"US forces attack Taliban positions in Afghanistan (Global Security, TASS)",Afghanistan,imi,Q182865,War in Afghanistan,0,
2004,US pursues Taliban insurgents into Pakistan (AFP),Pakistan,imi,Q185729,War on Terror,0,
1992,3550,NA,mids,Q2893606,1992 Peruvian constitutional Crisis,1,
1993,4299,NA,mids,Q5189962,1993 cruise missile strikes on Iraq,0,
1996,4196,NA,mids,Q19574746,1996 shootdown of Brothers to the Rescue aircraft,1,
1998,4254,NA,mids,Q39087721,1998 Monrovia clashes,1,Monrovia US embassy was threatened and the US ordered the USS Chinook to Liberian waters as a form of deterance.
1997,4273,NA,mids,Q107802,2003 invasion of Iraq ,0,
1998,4217,NA,mids,Q837887,cruise missile strikes on Afghanistan and Sudan,0,
1998,4227,NA,mids,Q837887,cruise missile strikes on Afghanistan and Sudan,0,
1996,4271,NA,mids,Q1781133,Cruise missile strikes on Iraq ,0,
2006,4575,NA,mids,Q1260080,drone strikes in Pakistan,0,
1999,4125,NA,mids,Q5463796,Foal Eagle,1,
1990,3957,NA,mids,Q37643,Gulf War,0,
1991,3973,NA,mids,Q37643,Gulf War,0,https://www.apnews.com/7bfb8ad1e6c4197f533a83e53059de0a
1991,3974,NA,mids,Q37643,Gulf War,0,
1992,3552,NA,mids,Q1433190,Iraq disarmament crisis,0,
2003,4512,NA,mids,Q545449,Iraq War,0,
2003,4516,NA,mids,Q545449,Iraq War,0,
2004,4518,NA,mids,Q545449,Iraq War,0,
2004,4519,NA,mids,Q545449,Iraq War,0,
2007,4538,NA,mids,Q545449,Iraq War,0,
1993,3568,NA,mids,Q899657,Iraqi no-fly zones conflict,0,Having trouble finding a wikipedia page for this. It is a border dispute between Kuwait and Iraq in 1993. the Gulf War ends in 1991 but i'm not sure if there is a wikipedia page for the tensions that remained after the Gulf War.
1998,4137,NA,mids,Q190029,Kosovo War,0,
1999,4342,NA,mids,Q155723,NATO bombing of Yugoslavia,0,
2000,4186,NA,mids,Q155723,NATO bombing of Yugoslavia,0,
1994,4046,NA,mids,Q472398,Operation Sharp Guard,0,
1997,4216,NA,mids,Q2026406,Operation Southern Watch,0,The United States sent the aircraft carrier Nimitz to the Persian Gulf ahead of a scheduled deployment in order to dissuade Iranian air attacks on Iraq. No Wikipedia page found regarding this
1993,4016,NA,mids,Q2026486,Operation Uphold Democracy,0,
1994,4269,NA,mids,Q1838811,Operation Vigilant Warrior,0,
2010,4483,NA,mids,Q243987,Shelling of Yeonpyeong,1,
1995,4064,NA,mids,Q705373,Third Taiwan Strait Crisis,1,
2003,4455,NA,mids,Q186444,Treaty on the Non-Proliferation of Nuclear Weapons,1,"The United States sent additional warships to the waters around the Korean peninsula, and North Korea shadowed ships with its own naval forces."
2007,4535,NA,mids,Q7863480,U.S. raid on the Iranian Liaison Office in Arbil,0,
1992,3551,NA,mids,Q2050489,United Nations Security Council Resolution 816,1,
1989,3901,NA,mids,Q459282,United States invasion of Panama,0,
2001,4283,NA,mids,Q182865,War in Afghanistan,0,
2004,4524,NA,mids,Q185729,War on Terror,0,
2005,4527,NA,mids,Q185729,War on Terror,0,
2005,4568,NA,mids,Q185729,War on Terror,0,
2005,4571,NA,mids,Q185729,War on Terror,0,
2007,4577,NA,mids,Q185729,War on Terror,0,
2008,4397,NA,mids,Q185729,War on Terror,0,
2008,4540,NA,mids,Q185729,War on Terror,0,
2008,4581,NA,mids,Q185729,War on Terror,0,
2009,4543,NA,mids,Q185729,War on Terror,0,
2010,4598,NA,mids,Q185729,War on Terror,0,
1989,3900,NA,mids,,,1,Seems to be an incident of an American fishing boat and a Canadian frigate colliding in contested waters. Cannot find a Wikipedia page on this
1990,3950,NA,mids,,,1,Cannot seem to find this dispute number in MID
1991,3972,NA,mids,,,1,"The US Coast Guard seized one Canadian fishing vessel and boarded
another."
1993,4021,NA,mids,,,1,United States and South Korean performing military exercises in response to North Korea threatening withdrawl from the nuclear nonproliferation treat.
1993,4022,NA,mids,,,1,"Another military demonstration done on the DMZ between North and South Korea. could be a part of Foal Eagle, Q5463796 "
1994,4065,NA,mids,,,1,China doing military exercises to counter the American and Korean military exercises on the Korean peninsula. China warned the United States and S. Korea not to invade the north.
1996,4190,NA,mids,,,1,United States issued a warning to Syra that U.S would join Turkey in any conflict. 
1997,4174,NA,mids,,,1,Fishing dispute between US and Russia in the Bering Sea
1997,4183,NA,mids,,,1,Fishing dispute between the US and Canada
1999,4088,NA,mids,,,1,China was holding naval exercises in the Taiwan straight and threatened the US with long range balistic missiles if the US intervened. the US had no other involvment in this case.
2000,4197,NA,mids,,,1,Russia flying an aircraft close to the Bering straight resulted in the United States and Canada moving aircraft close to Alaska in case of Russian air attack
2000,4213,NA,mids,,,1,The US Navy stopped and detained a Russian Volgoneft tanker bound for the United Arab Emirates that was suspected of carrying sanctioned Iraq oil in the Gulf of Oman
2000,4218,NA,mids,,,1,North Korea threatened any boats from the US or South Korea that trespassed into North Korea's claimed waters.
2000,4220,NA,mids,,,1,A Russian reconnaissance plane and an interceptor fighter were reported to have entered unnoticed into the American groupings radar zone.
2000,4261,NA,mids,,,1," On October 12, 2000, Venezuela accused the American vessel the Gentian
with violating its waters near the mouth of the Orinoco River. On October 21, the US
Coast Guard medium patrol boat Reliance was intercepted by a Venezuelan patrol
boat in the Gulf of Venezuela"
2000,4298,NA,mids,,,1,Military exercises by the United States and Croatia following the seizure of a Montenegrin vessel by Yugoslav forces
2000,4343,NA,mids,,,1,"In November 2000, Serbia sent tanks to its border a day before its deadline that demanded NATO forces clamp down on lawlessness and rebels on its border with NATO-protected Kosovo."
2001,4280,NA,mids,,,1,https://www.nytimes.com/2001/04/02/world/us-plane-in-china-after-it-collides-with-chinese-jet.html
2001,4281,NA,mids,,,1,China threatened war on Taiwan in 2001. military exercises were done by not only Taiwan and China but by the United States as well. (couldn't find wiki on this event)
2002,4450,NA,mids,,,1,"Chinese patrols buzzed an American oceanographic ship within Chinese
exclusive economic zone"
2002,4451,NA,mids,,,1,Two Spanish warships seized a North Korean ship suspected of carrying Scud missiles to Yemen. US navy forces inspected the cargo at port and released the ship.
2002,4552,NA,mids,,,1,Indonesian troops attacked a village in Papua New Guinea while searching for rebels.
2003,4460,NA,mids,,,1, American warships and aircraft violated Indonesian waters
2004,4371,NA,mids,,,1,Does not involve the US
2004,4465,NA,mids,,,1,The United States added air defenses to South Korea’s border in the demilitarized zone and sent fighter jets for training.
2008,4541,NA,mids,,,1,Iran issues warning to United States to stay out of their airspace
2009,4486,NA,mids,,,1,Naval conflict in the South China Sea
2010,4506,NA,mids,,,1,United States violated Venezuelan airspace
1989,Philippines Coup Attempt,PHI,mip,Q4585384,1989 Philippine coup attempt,0,
1993,NPT Threats,PRK,mip,Q3058660,1993 North Korean missile test,1,
1993,PRK Tension,PRK,mip,Q3058660,1993 North Korean missile test,1,
1998,Operation Resolute Response,"KEN, TAZ",mip,Q876206,1998 United States embassy bombings,1,
1999,East Timorese Crisis,ETM,mip,Q152848,1999 East Timorese crisis,0,
2006,Israel-Hezbollah War/July War,LEB,mip,Q49104,2006 Lebanon War,1,
2008,Abu Kamal Raid,SYR,mip,Q553332,2008 Abu Kamal raid,0,
2017,Peru Flooding Relief,PER,mip,Q28949969,2017 Peru floods,1,
2017,Sri Lanka Humanitarian Assistance,LKA,mip,Q30226331,2017 Sri Lanka floods,1,
2006,Support of AMISOM,SOM,mip,Q1641888,African Union Mission to Somalia,0,
2009,Al-Majalah Cruise Missile Strikes,YEM,mip,Q4702750,Al-Maajala camp attack,0,
2005,Counterterrorism mission/drones,YEM,mip,Q286436,Al-Qaeda insurgency in Yemen,0,
2013,Syrian Civil War/Counter IS,JOR,mip,Q18121212,American-led intervention in Syria,0,
